abbreviation;meaning
2,3-BPG;2,3-bisphosphoglycerate
DRG;dorsal respiratory group
ERV;expiratory reserve volume
FEF25%–75%;forced expiratory flow between 25% and 75% of the forced vital capacity
FEV1;forced expiratory volume in 1 second
;fractional concentration of inspired oxygen
FRC;functional residual capacity
FVC;forced vital capacity
HbA;adult hemoglobin
HbF;fetal hemoglobin
;plasma bicarbonate
IC;inspiratory capacity
IRV;inspiratory reserve volume
MPAP;mean pulmonary artery pressure
MLAP;mean left atrial pressure
MVV;maximum voluntary ventilation
MW;molecular weight
PBF;pulmonary blood flow
PEEP;positive end-expiratory pressure
PEF;peak expiratory flow
PVR;pulmonary vascular resistance
RV;residual volume
SVR;systemic vascular resistance
TLC;total lung capacity
;alveolar ventilation
;ventilation-perfusion ratio
VC;vital capacity
VD/VT;ratio of dead space to tidal volume
VRG;ventral respiratory group
VT;tidal volume
;oxygen consumption
;carbon dioxide production
